FeatureID,calc_mw,mz,rt
3.376_89.05966_RP,88.05239,89.05966,3.376
16.803_366.22725_RP,365.21997,366.22725,16.803
13.3_202.14357_RP,201.13629,202.14357,13.3
6.646_542.25671_RP,541.24943,542.25671,6.646
1.133_197.10073_RP,196.09344,197.10073,1.133
15.694_212.16432_RP,211.15705,212.16432,15.694
1.057_325.16034_RP,324.15307,325.16034,1.057
17.146_616.17627_RP,615.16899,616.17627,17.146
19.091_413.40974_RP,412.40247,413.40974,19.091
1.118_394.87377_RP,393.8665,394.87377,1.118
16.121_388.26909_RP,387.26181,388.26909,16.121
19.619_508.38397_RP,507.37665,508.38397,19.619
15.695_230.17489_RP,229.16761,230.17489,15.695
15.844_214.17997_RP,213.17269,214.17997,15.844
20.151_303.23164_RP,302.22436,303.23164,20.151
1.121_478.83509_RP,477.82782,478.83509,1.121
1.12_190.91173_RP,189.90446,190.91173,1.12
17.751_351.21403_RP,350.20675,351.21403,17.751
0.977_105.00318_RP,103.99591,105.00318,0.977
15.667_217.14324_RP,216.13596,217.14324,15.667
1.247_98.98407_RP,97.97679,98.98407,1.247
9.628_585.2876_RP,584.28033,585.2876,9.628
19.358_280.26332_RP,262.22949,280.26332,19.358
2.301_487.17799_RP,486.17071,487.17799,2.301
1.163_246.18094_RP,245.17366,246.18094,1.163
19.472_354.26117_RP,331.27196,354.26117,19.472
20.181_444.33156_RP,443.32428,444.33156,20.181
1.073_169.09463_RP,168.08731,169.09463,1.073
4.788_322.07662_RP,321.06935,322.07662,4.788
1.114_310.91252_RP,309.90524,310.91252,1.114
17.994_273.18474_RP,272.17747,273.18474,17.994
19.901_295.22665_RP,294.21932,295.22665,19.901
18.099_415.21127_RP,414.20399,415.21127,18.099
1.553_144.10176_RP,143.09449,144.10176,1.553
18.504_300.28955_RP,299.28227,300.28955,18.504
17.102_370.25856_RP,369.25128,370.25856,17.102
19.63_280.26335_RP,279.25608,280.26335,19.63
9.15_298.09662_RP,297.08934,298.09662,9.15
1.243_260.05275_RP,242.01893,260.05275,1.243
9.794_116.07047_RP,115.0632,116.07047,9.794
17.097_352.24806_RP,351.24078,352.24806,17.097
1.187_283.0452_RP,282.03792,283.0452,1.187
1.107_770.84995_RP,769.84268,770.84995,1.107
18.153_419.19044_RP,418.18316,419.19044,18.153
17.96_351.21399_RP,328.22478,351.21399,17.96
17.995_263.20038_RP,262.1931,263.20038,17.995
4.748_113.03443_RP,112.02715,113.03443,4.748
19.543_280.2633_RP,279.25602,280.2633,19.543
17.414_327.33687_RP,326.32959,327.33687,17.414
20.641_485.28954_RP,484.28225,485.28954,20.641
16.774_444.18565_RP,443.17837,444.18565,16.774
20.241_664.46263_RP,663.45535,664.46263,20.241
1.113_514.87462_RP,513.86735,514.87462,1.113
1.53_203.15005_RP,202.14277,203.15005,1.53
1.527_405.00907_RP,404.0018,405.00907,1.527
2.689_316.16145_RP,315.15417,316.16145,2.689
7.287_302.17079_RP,301.16352,302.17079,7.287
7.62_169.09704_RP,168.08976,169.09704,7.62
1.214_259.0592_RP,258.05192,259.0592,1.214
1.112_582.86205_RP,581.85478,582.86205,1.112
1.348_198.04295_RP,197.03567,198.04295,1.348
5.894_202.10723_RP,201.09996,202.10723,5.894
17.297_386.25348_RP,385.2462,386.25348,17.297
16.476_352.24806_RP,351.24078,352.24806,16.476
1.47_70.06509_RP,69.05782,70.06509,1.47
1.118_326.88649_RP,325.87921,326.88649,1.118
16.684_372.23793_RP,371.23065,372.23793,16.684
3.28_286.13959_RP,285.13231,286.13959,3.28
2.126_212.11272_RP,194.07889,212.11272,2.126
1.078_313.03559_RP,312.02831,313.03559,1.078
1.502_204.09765_RP,186.06382,204.09765,1.502
17.635_291.1953_RP,290.18802,291.1953,17.635
17.212_384.23782_RP,383.23054,384.23782,17.212
3.312_273.08409_RP,272.07681,273.08409,3.312
15.144_240.06868_RP,239.0614,240.06868,15.144
1.506_187.03643_RP,186.02915,187.03643,1.506
1.126_200.04045_RP,199.03317,200.04045,1.126
15.887_340.21169_RP,339.20441,340.21169,15.887
1.116_174.93782_RP,173.93055,174.93782,1.116
1.449_274.09196_RP,273.08468,274.09196,1.449
17.995_291.19527_RP,290.188,291.19527,17.995
1.361_247.05749_RP,246.05021,247.05749,1.361
1.121_410.84774_RP,409.84046,410.84774,1.121
8.619_234.00651_RP,232.99923,234.00651,8.619
0.98_72.08076_RP,71.07347,72.08076,0.98
1.111_718.83665_RP,717.82937,718.83665,1.111
10.51_358.20692_RP,340.17309,358.20692,10.51
18.101_275.20039_RP,274.19311,275.20039,18.101
1.116_598.83599_RP,597.82871,598.83599,1.116
1.117_530.84858_RP,529.84131,530.84858,1.117
18.102_293.21092_RP,292.20365,293.21092,18.102
1.179_303.17728_RP,302.17001,303.17728,1.179
1.112_650.84942_RP,649.84214,650.84942,1.112
17.556_372.27422_RP,371.26694,372.27422,17.556
8.145_170.08112_RP,169.07384,170.08112,8.145
4.724_203.10246_RP,202.09519,203.10246,4.724
17.96_311.2215_RP,310.21423,311.2215,17.96
17.636_273.18473_RP,272.17746,273.18473,17.636
0.977_86.99268_RP,85.9854,86.99268,0.977
19.97_296.25819_RP,295.25093,296.25819,19.97
16.773_476.21183_RP,475.20456,476.21183,16.773
17.296_368.24292_RP,367.23564,368.24292,17.296
17.035_331.24768_RP,330.24039,331.24768,17.035
17.094_430.17001_RP,429.16273,430.17001,17.094
12.069_211.1439_RP,210.13662,211.1439,12.069
9.624_407.19216_RP,406.18488,407.19216,9.624
1.222_367.13901_RP,366.13174,367.13901,1.222
1.561_329.19288_RP,328.18562,329.19288,1.561
1.197_304.16129_RP,303.15402,304.16129,1.197
1.077_327.05124_RP,326.04396,327.05124,1.077
1.126_213.07466_RP,212.06738,213.07466,1.126
3.398_343.16102_RP,342.15374,343.16102,3.398
8.589_384.11472_RP,383.10744,384.11472,8.589
1.195_337.17155_RP,336.16427,337.17155,1.195
1.117_666.82343_RP,665.81615,666.82343,1.117
16.264_366.22729_RP,365.22002,366.22729,16.264
17.035_277.21596_RP,276.20868,277.21596,17.035
20.226_576.41021_RP,575.40293,576.41021,20.226
11.796_211.14391_RP,210.13664,211.14391,11.796
17.962_405.17482_RP,404.16754,405.17482,17.962
1.355_212.04289_RP,211.03561,212.04289,1.355
16.122_432.18562_RP,431.17835,432.18562,16.122
1.072_191.07651_RP,190.06924,191.07651,1.072
1.286_84.04433_RP,83.03705,84.04433,1.286
17.992_309.20587_RP,308.19859,309.20587,17.992
15.215_384.23784_RP,383.23056,384.23784,15.215
1.235_220.08137_RP,219.07409,220.08137,1.235
0.977_119.01881_RP,118.01154,119.01881,0.977
9.656_330.1658_RP,329.15853,330.1658,9.656
1.114_734.81049_RP,733.80322,734.81049,1.114
1.12_614.80988_RP,613.8026,614.80988,1.12
20.235_625.39174_RP,624.38447,625.39174,20.235
1.283_118.06095_RP,117.05368,118.06095,1.283
17.276_225.19596_RP,224.18869,225.19596,17.276
16.91_366.22729_RP,365.22001,366.22729,16.91
16.141_256.04582_RP,255.03854,256.04582,16.141
7.61_232.15414_RP,231.14687,232.15414,7.61
1.493_204.08647_RP,203.07919,204.08647,1.493
17.934_279.23165_RP,278.22437,279.23165,17.934
1.45_370.07344_RP,369.06616,370.07344,1.45
1.12_546.82259_RP,545.81532,546.82259,1.12
1.558_163.05995_RP,162.05267,163.05995,1.558
2.286_186.0872_RP,185.07992,186.0872,2.286
1.546_608.08842_RP,607.08114,608.08842,1.546
8.269_279.1338_RP,278.12652,279.1338,8.269
1.557_287.24387_RP,286.23659,287.24387,1.557
11.337_307.06534_RP,306.05807,307.06534,11.337
16.123_370.25853_RP,369.25125,370.25853,16.123
17.634_327.21646_RP,326.20918,327.21646,17.634
6.765_485.23518_RP,484.2279,485.23518,6.765
20.247_708.48872_RP,707.48144,708.48872,20.247
8.302_336.15529_RP,335.14801,336.15529,8.302
7.694_400.21866_RP,399.21139,400.21866,7.694
10.741_202.14357_RP,201.13629,202.14357,10.741
12.21_186.11237_RP,185.1051,186.11237,12.21
1.328_231.14495_RP,230.13767,231.14495,1.328
2.063_277.10286_RP,276.09558,277.10286,2.063
1.546_204.08643_RP,203.07916,204.08643,1.546
16.803_460.18057_RP,459.17329,460.18057,16.803
10.21_172.09675_RP,171.08947,172.09675,10.21
1.381_204.08646_RP,203.07918,204.08646,1.381
16.851_247.16907_RP,246.1618,247.16907,16.851
1.11_786.82384_RP,785.81656,786.82384,1.11
1.057_115.08648_RP,114.0792,115.08648,1.057
0.976_218.98346_RP,217.97619,218.98346,0.976
19.637_311.25784_RP,310.25056,311.25784,19.637
2.087_141.06578_RP,140.0585,141.06578,2.087
16.771_408.23539_RP,407.22812,408.23539,16.771
9.694_261.14428_RP,243.11045,261.14428,9.694
16.683_354.22739_RP,353.22011,354.22739,16.683
6.405_356.97514_RP,355.96787,356.97514,6.405
14.585_198.14866_RP,197.14138,198.14866,14.585
17.543_261.18483_RP,260.17756,261.18483,17.543
6.55_152.05656_RP,151.04928,152.05656,6.55
0.977_216.95045_RP,215.94318,216.95045,0.977
20.494_307.26301_RP,306.25573,307.26301,20.494
1.374_235.09224_RP,217.05842,235.09224,1.374
16.802_348.21675_RP,347.20948,348.21675,16.802
18.154_752.01809_RP,751.01081,752.01809,18.154
13.3_216.15921_RP,215.15193,216.15921,13.3
1.29_85.02835_RP,84.02104,85.02835,1.29
20.213_532.38408_RP,531.3768,532.38408,20.213
1.562_131.11772_RP,113.0839,131.11772,1.562
1.486_337.16033_RP,336.15306,337.16033,1.486
17.971_277.21607_RP,276.20876,277.21607,17.971
17.094_462.19625_RP,461.18898,462.19625,17.094
1.449_292.10249_RP,291.09521,292.10249,1.449
1.644_171.07632_RP,170.06905,171.07632,1.644
11.84_202.14358_RP,201.1363,202.14358,11.84
6.541_552.17936_RP,551.17208,552.17936,6.541
1.13_219.08267_RP,218.07539,219.08267,1.13
1.123_494.80909_RP,493.80182,494.80909,1.123
1.377_250.0919_RP,249.08462,250.0919,1.377
1.566_280.13882_RP,279.13155,280.13882,1.566
1.118_260.89719_RP,259.88991,260.89719,1.118
19.636_552.41016_RP,551.40289,552.41016,19.636
1.22_276.15513_RP,275.14785,276.15513,1.22
17.317_309.20593_RP,308.19865,309.20593,17.317
1.19_270.2021_RP,269.19483,270.2021,1.19
1.245_335.07354_RP,334.06626,335.07354,1.245
6.398_254.16091_RP,253.15363,254.16091,6.398
1.13_175.14394_RP,174.13666,175.14394,1.13
14.585_216.15924_RP,215.15196,216.15924,14.585
1.121_682.79717_RP,681.78989,682.79717,1.121
1.038_126.10247_RP,125.09519,126.10247,1.038
12.841_276.12617_RP,275.11889,276.12617,12.841
7.121_245.14943_RP,244.14215,245.14943,7.121
1.147_485.14052_RP,484.13325,485.14052,1.147
19.225_294.24256_RP,293.23535,294.24256,19.225
6.305_487.21434_RP,486.20707,487.21434,6.305
1.563_204.09766_RP,203.09038,204.09766,1.563
15.887_322.20112_RP,321.19384,322.20112,15.887
11.293_162.11236_RP,161.10508,162.11236,11.293
11.944_187.13271_RP,186.12543,187.13271,11.944
1.121_342.86042_RP,341.85314,342.86042,1.121
17.383_304.22703_RP,303.21975,304.22703,17.383
1.562_261.10786_RP,260.10059,261.10786,1.562
6.86_254.16094_RP,253.15367,254.16094,6.86
9.151_253.12797_RP,252.12071,253.12797,9.151
12.605_245.12818_RP,244.12091,245.12818,12.605
16.774_322.23755_RP,321.23028,322.23755,16.774
6.414_506.25652_RP,505.24924,506.25652,6.414
12.101_206.08098_RP,205.0737,206.08098,12.101
18.152_403.17955_RP,402.17227,403.17955,18.152
16.472_443.23262_RP,442.22534,443.23262,16.472
2.137_246.10825_RP,245.10097,246.10825,2.137
18.152_515.12288_RP,514.1156,515.12288,18.152
20.894_242.24762_RP,241.24035,242.24762,20.894
1.076_245.04821_RP,244.04094,245.04821,1.076
14.725_200.16434_RP,199.15706,200.16434,14.725
1.071_207.07139_RP,206.06411,207.07139,1.071
8.874_195.11262_RP,194.10535,195.11262,8.874
1.301_234.09696_RP,233.08968,234.09696,1.301
13.602_188.16432_RP,187.15704,188.16432,13.602
18.331_279.23167_RP,278.22439,279.23167,18.331
2.157_216.09772_RP,215.09045,216.09772,2.157
8.032_641.32502_RP,640.31775,641.32502,8.032
16.147_402.24824_RP,401.24095,402.24824,16.147
1.374_189.08685_RP,188.07958,189.08685,1.374
12.345_220.09668_RP,219.0894,220.09668,12.345
1.325_166.0531_RP,165.04583,166.0531,1.325
2.289_112.05042_RP,111.04315,112.05042,2.289
6.908_245.1494_RP,244.14212,245.1494,6.908
1.144_122.08104_RP,121.07376,122.08104,1.144
2.31_189.12324_RP,188.11596,189.12324,2.31
1.774_246.10828_RP,245.101,246.10828,1.774
16.05_386.25351_RP,385.24626,386.25351,16.05
6.474_558.25138_RP,557.2441,558.25138,6.474
7.459_232.15412_RP,231.14684,232.15412,7.459
1.406_292.10247_RP,291.09519,292.10247,1.406
15.752_404.26401_RP,403.25673,404.26401,15.752
19.175_278.24769_RP,277.24041,278.24769,19.175
5.518_185.09195_RP,184.08467,185.09195,5.518
17.035_407.19037_RP,406.1831,407.19037,17.035
10.442_160.13309_RP,142.09927,160.13309,10.442
1.561_277.13917_RP,276.1319,277.13917,1.561
1.081_516.99767_RP,515.9904,516.99767,1.081
10.493_227.13885_RP,226.13157,227.13885,10.493
17.96_419.1905_RP,418.18322,419.1905,17.96
2.117_247.12864_RP,246.12137,247.12864,2.117
16.774_275.20033_RP,274.19306,275.20033,16.774
1.563_160.13308_RP,159.1258,160.13308,1.563
1.208_150.07596_RP,149.06869,150.07596,1.208
14.306_247.15379_RP,246.14651,247.15379,14.306
2.17_219.09739_RP,218.09011,219.09739,2.17
19.054_278.24765_RP,277.24037,278.24765,19.054
17.75_307.22659_RP,306.21931,307.22659,17.75
16.803_428.15438_RP,427.14711,428.15438,16.803
11.031_402.23305_RP,384.19923,402.23305,11.031
17.383_572.14448_RP,571.1372,572.14448,17.383
10.704_174.05477_RP,173.0475,174.05477,10.704
1.469_231.13369_RP,230.12641,231.13369,1.469
17.382_460.20095_RP,459.19367,460.20095,17.382
1.334_224.99213_RP,223.98486,224.99213,1.334
7.074_367.1497_RP,366.14243,367.1497,7.074
9.633_261.12314_RP,260.11586,261.12314,9.633
13.169_378.19136_RP,377.18408,378.19136,13.169
17.381_428.17475_RP,427.16747,428.17475,17.381
17.57_277.21604_RP,276.20876,277.21604,17.57
19.778_280.26322_RP,279.25595,280.26322,19.778
1.104_838.83723_RP,837.82995,838.83723,1.104
0.996_86.09641_RP,85.08911,86.09641,0.996
