database_id,cmm_id,prediction
114857,298,1247.5488
442408,299,593.81396
221071,300,799.4659
68827,302,979.53503
237619,303,799.4659
519361,308,1081.3527
72724,311,1022.3167
442393,312,1081.3527
161937,320,783.66077
656496,324,1094.9773
441005,332,1274.1946
3503,333,1351.5155
10657,334,1289.5808
115300,335,858.7029
11052747,336,1141.9615
442519,337,1099.3561
10225,338,1306.7762
446378,348,898.2288
10719,349,1047.5912
92265,350,746.7385
3515,353,1133.8794
227829,354,914.5035
442288,355,732.02954
100302,356,754.97504
121536,372,923.85486
577062,376,1141.0255
442292,405,638.29095
442347,407,991.5363
344199,412,781.95355
344200,413,707.32227
330358,421,764.4939
185781,425,793.5875
6431015,437,1244.2805
65575,438,1134.1064
6857681,465,1111.2272
442402,473,1270.4039
447277,484,882.0029
5280435,485,1451.0411
5281909,486,882.0029
468706,487,1420.1544
14556929,491,1328.9241
5281365,492,1005.8225
5282197,493,856.5999
189026,494,1398.303
14671060,495,1469.2483
6326763,498,1398.303
5280787,500,1328.9241
5281232,503,1093.6316
123929,505,1426.7198
14035234,508,1412.0984
10380830,517,1420.1544
3080668,519,1443.8585
5280897,522,1109.3235
5281990,523,1109.3235
5281991,524,1109.3235
47936,525,1027.0544
24798689,528,1318.4941
15161496,529,1330.1324
163263,531,1256.4277
10569,536,1164.6184
443470,537,1443.4106
443472,538,1317.0153
221118,539,1005.0298
94391,540,1251.6517
443474,541,1260.5083
443471,542,1441.3529
443475,543,1258.6575
443478,544,1327.2063
16040,547,1178.2754
162644,554,1008.04
21596475,555,956.89136
12314280,556,1427.4625
10355909,558,1382.959
13969536,559,1382.959
15586712,560,1168.2849
12311183,561,1316.9414
442048,562,1170.2334
11471283,574,1466.0593
93017,575,879.6483
5280379,593,728.40466
6466,594,755.54346
5280481,595,761.4593
5280607,596,677.36115
440914,597,893.8161
440915,598,804.47125
443446,599,770.20825
443447,600,763.10315
443448,601,730.6163
12310161,602,712.5149
443450,603,904.60535
443451,604,823.4252
443453,606,817.36304
443454,607,909.45447
443455,608,787.3907
5281984,609,822.43365
92109,610,734.8996
5281985,611,727.7987
5281986,612,841.3424
92782,613,767.5326
5281987,614,687.37164
443462,615,736.309
443463,616,694.7427
5281988,617,786.0683
443494,618,827.0688
52921570,620,660.4122
14605548,623,713.26685
5281384,631,1183.8413
6430770,632,1405.6246
5280437,652,1327.7775
442070,662,668.41815
27924,663,1057.7814
10659816,669,1220.0114
441276,674,1011.0224
443484,675,1208.3055
443485,676,982.81244
443486,677,1092.9843
443487,678,813.30786
443488,679,884.7522
441999,696,945.6486
21725806,707,711.21704
6917929,708,781.6316
11826309,709,748.9055
21725807,710,734.1296
5280659,725,961.85077
108110,733,950.90924
638072,745,1292.9845
6449797,746,1205.8694
5459811,753,1262.5702000000001
3000226,761,1108.3433
441675,763,1328.6302
101257,767,1254.8085
441678,768,1254.8085
5281303,769,749.9302
5281876,770,810.0227
72964,771,844.40955
65571,772,1005.5884
259846,773,1355.0171
92157,774,1385.1357
64971,775,1214.2614
72326,776,1258.0208
10494,779,1263.8813
441927,781,871.993
92825,784,1150.1377
440167,785,1137.7384
111253,786,1129.6697
10114,788,1137.7384
73145,789,1375.347
12305517,790,1275.9998
10434225,793,1275.9998
11869658,794,1263.8813
73398,800,1137.7384
11953919,805,729.9527
101810,811,1096.7384
73170,817,1391.2567
64945,823,1226.138
9847548,824,1124.4651
6710742,825,777.1671
168928,827,1249.5841
73659,830,1081.8678
73242194,831,1209.3593
168951,841,1413.9629
441936,852,1223.5842
5280489,853,1310.6852
16061189,861,974.97144
10210008,872,1035.9417
5281229,886,1110.9993
5281236,898,1190.8534
5280789,921,1271.8455
16061227,922,1267.986
5281253,923,1258.4169
16061228,924,1348.2335
16061231,927,1008.6769
16061232,928,1083.2787
16061233,929,1038.7681
16061238,934,925.25336
16061239,935,896.7721
9915740,943,1294.5563
16061249,945,1207.5068
14730337,948,1175.3179
6368932,949,1283.8876
16061251,950,1251.3843
5366412,951,1221.5765
5366506,952,1189.5491
10098571,953,1288.7106
9984420,954,1292.3505
6443791,960,1230.6094
16061254,961,1443.5244
16061255,962,920.75464
5368308,963,1257.2931
5366505,964,1161.1761
5366504,965,1141.6046
16061256,966,1349.38
16061257,967,1222.7147
5366411,968,1304.7848
16061265,977,1346.0111
16061266,978,1197.494
16061267,979,1177.211
16061269,981,1152.5503
5366509,982,1031.3318
16061276,990,1307.7556
10098570,991,1263.094
10007317,992,1337.4811
10099075,993,1227.1412
16061289,1006,1009.66846
16061290,1007,990.32635
16061292,1009,1182.9004
637039,1030,1204.6208
5281249,1033,915.3098
6376436,1034,1000.2016
14413719,1035,1041.9229
5280651,1047,1045.8527
24883415,1048,1208.431
5280784,1049,1395.7178
9963391,1050,1395.7178
5280788,1051,1359.8937
446925,1052,1309.5234
4369188,1053,1303.3121
5280790,1054,1346.739
5280791,1055,1328.601
5280899,1056,1055.01
5281223,1057,1078.1858
5281224,1058,965.35425
5281227,1059,1151.5386
5281228,1060,1027.1642
5281230,1061,1322.3169
5281231,1062,1330.2416
5281234,1063,1149.2428
5281235,1064,1147.4084
5281238,1065,1032.6298
5281242,1066,1179.309
5281243,1067,1035.9417
5281244,1068,1135.4216
5281245,1069,1238.106
5281246,1070,1355.0055
5281251,1071,1108.7723
5281252,1072,1182.6056
448438,1073,1152.2617
5282218,1074,1152.2617
5282319,1082,1043.6748
5282320,1083,1198.8589
6440490,1084,1359.8937
5280992,1086,1322.6307
5280991,1087,1260.564
6436722,1088,1333.0006
5366074,1093,934.25226
445354,1095,1229.9291
638015,1096,1314.2383
5280490,1097,1314.2383
5280382,1098,1229.9291
5280866,1099,1225.5558
5280867,1100,1225.5558
6436043,1101,1141.418
9904001,1102,1229.9291
9904001,1104,1229.9291
5280531,1106,1470.6908
6436079,1110,1314.2383
6436079,1111,1314.2383
5538,1112,1210.4343
447276,1113,1088.1497
5282379,1114,1210.4343
449171,1115,1210.4343
6419708,1116,1210.4343
6438629,1118,1005.2858
6437063,1119,933.38074
