database_id,cmm_id,prediction
NPA000478,476,766.49896
NPA000479,477,721.096
NPA000480,478,933.29663
NPA000481,479,794.2062
NPA000482,480,852.5564
NPA000483,481,546.4377
NPA000484,482,748.86005
NPA000485,483,1056.5067
NPA000486,484,683.3391
NPA000487,485,1397.476
NPA000488,486,960.453
NPA000489,487,685.7155
NPA000490,488,644.63196
NPA000491,489,1121.2833
NPA000492,490,772.7822
NPA000493,491,740.1792
NPA000494,492,660.88916
NPA000495,493,788.61804
NPA000496,494,955.7353
NPA000497,495,630.7647
NPA000498,496,1168.1658
NPA000499,497,710.4165
NPA000500,498,731.16644
NPA000501,499,877.7782
NPA000502,500,752.59546
NPA000503,501,773.0271
NPA000504,502,649.25836
NPA000505,503,819.091
NPA000506,504,629.76483
NPA000507,505,707.2327
NPA000508,506,911.64636
NPA000509,507,696.9044
NPA000510,508,842.507
NPA000511,509,718.19495
NPA000512,510,1055.335
NPA000513,511,687.4303
NPA000514,512,1014.8589
NPA000515,513,715.90314
NPA000516,514,751.49475
NPA000517,515,712.54663
NPA000518,516,1131.7659
NPA000519,517,1004.24097
NPA000520,518,1341.9292
NPA000521,519,784.80884
NPA000522,520,816.8251
NPA000523,521,1314.83
NPA000524,522,946.7348
NPA000525,523,994.7581
NPA000526,524,1011.36975
NPA000527,525,822.96375
NPA000528,526,998.4774
NPA000529,527,1128.4202
NPA000530,528,561.85516
NPA000531,529,781.9115
NPA000532,530,943.80493
NPA000533,531,1081.751
NPA000534,532,715.0106
NPA000535,533,591.1334
NPA000536,534,707.5321
NPA000537,535,871.5115
NPA000538,536,866.57025
NPA000539,537,638.0026
NPA000540,538,791.8949
NPA000541,539,769.3075
NPA000542,540,604.16516
NPA000543,541,842.7883
NPA000544,542,972.2348
NPA000545,543,907.58167
NPA000546,544,849.54193
NPA000547,545,841.10626
NPA000548,546,636.6102
NPA000549,547,674.0982
NPA000550,548,743.30707
NPA000551,549,1212.9661
NPA000553,550,754.296
NPA000554,551,743.8157
NPA000555,552,786.68085
NPA000556,553,80.036514
NPA000557,554,825.4176
NPA000558,555,662.406
NPA000559,556,748.85925
NPA000560,557,1025.8228
NPA000561,558,971.5013
NPA000562,559,979.79944
NPA000563,560,858.0979
NPA000564,561,1453.3081
NPA000565,562,731.5894
NPA000567,563,970.86365
NPA000568,564,822.1291
NPA000569,565,638.7661
NPA000570,566,1053.2322
NPA000571,567,85.803856
NPA000572,568,923.97546
NPA000573,569,760.9271
NPA000574,570,756.1784
NPA000575,571,717.4813
NPA000576,572,872.65643
NPA000577,573,744.482
NPA000578,574,604.55884
NPA000579,575,936.40826
NPA000580,576,645.43304
NPA000581,577,952.2738
NPA000582,578,779.39404
NPA000583,579,1270.5974
NPA000584,580,995.17914
NPA000585,581,721.36456
NPA000586,582,863.0523
NPA000587,583,1036.7598
NPA000588,584,810.87103
NPA000589,585,683.99615
NPA000590,586,614.994
NPA000591,587,712.07983
NPA000592,588,794.94183
NPA000593,589,858.39294
NPA000594,590,841.91284
NPA000595,591,1050.5604
NPA000596,592,1001.00244
NPA000597,593,812.52277
NPA000598,594,573.51276
NPA000599,595,723.5749
NPA000600,596,1269.1967
NPA000602,597,943.4073
NPA000603,598,632.12976
NPA000604,599,703.8462
NPA000605,600,863.9011
NPA000606,601,926.00073
NPA000607,602,954.5482
NPA000608,603,768.7864
NPA000609,604,994.11096
NPA000610,605,633.3903
NPA000611,606,987.26746
NPA000612,607,775.3608
NPA000613,608,1085.5156
NPA000614,609,974.267
NPA000615,610,931.39233
NPA000616,611,758.88727
NPA000617,612,871.5624
NPA000618,613,1069.3306
NPA000619,614,909.402
NPA000620,615,852.8976
NPA000621,616,890.7066
NPA000622,617,1178.7211
NPA000623,618,866.37384
NPA000624,619,720.5864
NPA000625,620,985.31464
NPA000626,621,1181.2708
NPA000627,622,800.5114
NPA000628,623,982.19135
NPA000629,624,864.20844
NPA000630,625,1035.7794
NPA000631,626,823.4809
NPA000632,627,1133.8854
NPA000633,628,906.60834
NPA000634,629,739.9466
NPA000635,630,87.82809
NPA000636,631,799.41254
NPA000637,632,622.3777
NPA000638,633,754.89624
NPA000639,634,804.3323
NPA000640,635,795.14465
NPA000641,636,1054.2819
NPA000642,637,875.4209
NPA000643,638,1126.8085
NPA000644,639,878.5472
NPA000645,640,650.96826
NPA000646,641,715.1146
NPA000647,642,768.78394
NPA000648,643,771.0635
NPA000649,644,686.0501
NPA000650,645,1108.9307
NPA000651,646,791.59766
NPA000652,647,680.9638
NPA000653,648,757.5493
NPA000654,649,786.87604
NPA000655,650,876.62164
NPA000656,651,1362.0034
NPA000657,652,926.7948
NPA000658,653,1006.6444
NPA000659,654,709.53326
NPA000660,655,968.995
NPA000661,656,705.4935
NPA000662,657,818.1412
NPA000663,658,707.23987
NPA000664,659,711.29266
NPA000665,660,733.36395
NPA000666,661,993.4137
NPA000667,662,645.7561
NPA000668,663,719.167
NPA000669,664,1020.80005
NPA000670,665,650.55054
NPA000671,666,765.3864
NPA000672,667,966.40936
NPA000673,668,1079.162
NPA000674,669,1070.6472
NPA000675,670,884.76624
NPA000676,671,777.87573
NPA000677,672,611.6579
NPA000678,673,621.8526
NPA000679,674,677.4585
NPA000680,675,590.4724
NPA000681,676,747.64777
NPA000682,677,923.0835
NPA000683,678,730.24316
NPA000684,679,759.8024
NPA000685,680,1079.2065
NPA000686,681,753.92676
NPA000687,682,1019.32294
NPA000688,683,681.72363
NPA000689,684,957.01843
NPA000690,685,816.04193
NPA000691,686,958.0869
NPA000692,687,769.25824
NPA000693,688,784.92163
NPA000694,689,862.6608
NPA000695,690,664.43616
NPA000696,691,990.0763
NPA000697,692,932.41547
NPA000698,693,1190.9232
NPA000699,694,751.80963
NPA000700,695,671.6738
NPA000701,696,1035.4442
NPA000702,697,1039.4445
NPA000703,698,734.3384
NPA000704,699,885.09906
NPA000705,700,876.89264
NPA000706,701,813.22253
NPA000707,702,756.00104
NPA000708,703,683.4468
NPA000709,704,741.45807
NPA000710,705,569.6712
NPA000711,706,743.669
NPA000712,707,761.3511
NPA000713,708,838.04114
NPA000714,709,618.6875
NPA000715,710,877.7808
NPA000716,711,1010.6358
NPA000717,712,1115.7015
NPA000718,713,853.40045
NPA000719,714,1149.3821
NPA000720,715,852.5564
NPA000721,716,886.4788
NPA000722,717,1064.5533
NPA000723,718,875.22845
NPA000724,719,836.44745
NPA000725,720,1021.98236
NPA000726,721,969.06635
NPA000727,722,712.54663
NPA000728,723,646.338
NPA000729,724,750.25
NPA000730,725,744.8621
NPA000731,726,637.64465
NPA000732,727,919.0905
NPA000733,728,622.6328
NPA000734,729,565.8333
NPA000735,730,750.9587
NPA000736,731,1227.9191
NPA000737,732,837.8253
NPA000738,733,646.4176
NPA000739,734,894.2821
NPA000740,735,705.1582
NPA000741,736,689.9688
NPA000742,737,804.216
NPA000743,738,752.54474
NPA000744,739,962.92706
NPA000745,740,769.2284
NPA000746,741,911.3756
NPA000747,742,869.3547
NPA000748,743,938.6534
NPA000749,744,839.4631
NPA000750,745,914.6718
NPA000751,746,1402.2147
NPA000752,747,821.9916
NPA000753,748,894.8095
NPA000754,749,709.0471
NPA000755,750,655.30634
NPA000756,751,581.14136
NPA000757,752,627.9385
NPA000758,753,798.889
NPA000759,754,861.0384
NPA000760,755,987.02325
NPA000761,756,854.9086
NPA000762,757,1017.1058
